Hex	Wiz１：狂王の試練場	Wiz２：ダイヤモンドの騎士	Wiz３：リルガミンの遺産	
68	ガラクタ	村正	閃きの短剣	
69	ガラクタ	手裏剣	炎の指輪	
6A	ガラクタ	君主の聖衣	呪われた鎧	
6B	ガラクタ	赤い靴	ミスリルの鎧	
6C	ガラクタ	金の斧	癒しの杖	
6D	ガラクタ	黄色い耳栓	生命の指輪	
6E	ガラクタ	ガラクタ	変化の指輪	
6F	ガラクタ	ガラクタ	不思議な石	
70	ガラクタ	ガラクタ	希望の石	
71	ガラクタ	ガラクタ	神秘的な石	
72	ガラクタ	ガラクタ	偉大なる魔法使いの杖	
73	ガラクタ	ガラクタ	力のコイン	
74	ガラクタ	ガラクタ	若返りの石	
75	ガラクタ	ガラクタ	心の石	
76	ガラクタ	ガラクタ	信心の石	
77	ガラクタ	ガラクタ	ブラーニィの石	
78	ガラクタ	ガラクタ	熟練の魔除け	
79	ガラクタ	ガラクタ	熟練の魔除け	
7A	ガラクタ	ガラクタ	偉大なる魔法使いの杖	
7B	ガラクタ	ガラクタ	力のコイン	
7C	ガラクタ	ガラクタ	ニルダの杖	
7D	ガラクタ	ガラクタ	ハースニール	
7E	ガラクタ	ガラクタ	伝説の兜	
7F	ガラクタ	ガラクタ	伝説の盾	
80	ガラクタ	ガラクタ	伝説の小手	
81	ガラクタ	ガラクタ	伝説の鎧	
82	ガラクタ	ガラクタ	錆びた鍵	
83	ガラクタ	ガラクタ	赤錆びたバッジ	
84	ガラクタ	ガラクタ	奇妙な紋章	
85	ガラクタ	ガラクタ	黒檀の鍵	
86	ガラクタ	ガラクタ	修道院の鍵	
87	ガラクタ	ガラクタ	ミスリルの鍵	
88	ガラクタ	ガラクタ	マスターキー	
89	ガラクタ	ガラクタ	悪魔の石	
8A	ガラクタ	ガラクタ	ガラクタ	
8B	ガラクタ	ガラクタ	ガラクタ	
8C	ダイヤモンドソード	ダイヤモンドソード	ダイヤモンドソード	
8D	ダイヤモンドの小手	ダイヤモンドの小手	ダイヤモンドの小手	
8E	大魔道師の魔除け	大魔道師の魔除け	大魔道師の魔除け	
8F	ガラクタ	反魂香	ガラクタ	
90	ガラクタ	金剛石の目	ガラクタ	
91	ガラクタ	ルビーの靴	ガラクタ	
92	素早さの石	ウサギの足	ガラクタ	
93	ガラクタ	盗賊のピック	ガラクタ	
94	ガラクタ	悪魔の書	ガラクタ	
95	蛙の剣	バタフライナイフ	亡者の書	
96	熊の鎧	金のティアラ	亡者のコイン	
97	ウィンドソード	カマキリの小手	ドリームペインターの羽	
98	魔法使いのローブ	魔王のベルト	フェザースタッフ	
99	魔法の手袋	革ベルト	受け流しの短剣	
9A	魔法の頭巾	魔刀正光	アーメット	
9B	ルビーのスリッパ	神の槌	ファランクスの盾	
9C	防御の巻物	ジャイアントバスター	革の兜	
9D	皮の小手	ドラゴンバスター	スケールアーマー	
9E	羽帽子	錆びた棒	羽帽子	
9F	オウガブレード	ブラッドサッカー	革の小手	
A0	髑髏の盾	真紅の鎖帷子	肩当て	
A1	ルビーの靴	ゴールデンハンマー	滅びの巻物	
A2	全快の薬	太陽の剣	黒糸縅	
A3	ドラゴンバスター	藍色の鎖帷子	ウィンドソード	
A4	必殺の針	竹光	魔法の頭巾	
A5	中立の盾	羽帽子	気付け薬	
A6	闇装束	アサシンニードル	ガーディアンホーン	
A7	スケイルアーマー	雪風	グラディエイター	
A8	賢者のローブ	火炎の巻物	地獄の斧	
A9	星屑の杖	神秘の小枝	小鴉丸	
AA	気付け薬	鉛の小手	魔封じの盾	
AB	致死の巻物	魔封じの盾	ブラッディーローブ	
AC	冷気の巻物	魔法の頭巾	錆び付いた斧	
AD	アーメット	硬い皮の小手	闇のメイス	
AE	オベロンの指輪	スケイルアーマー	無傷の石	
AF	心の石	大爆発の巻物	苔生した石	
B0	信心の石	金剛の杖	力の小手	
B1	七星剣	黒糸縅	酸欠の巻物	
B2	忍者装束	プラチナプレート	冷気の巻物	
B3	プラチナプレート	肩鎧	幸運の小手	
B4	金の小手	ドラゴンカイト	悪の書	
B5	酸欠の巻物	グレートヘルム	善の書	
B6	大爆発の巻物	王者の小手	悪魔の爪	
B7	ドラゴンカイト	拉げた魔道器	悪魔の鉤爪	
B8	魔封じの盾	水銀のローブ	必殺の針	
B9	黒糸縅	心の石	雷撃の巻物	
BA	春日の手甲	信心の石	全滅の巻物	
BB	反魂香	命の石	騎士の盾	
BC	獅子王	若返りの石	漆黒の小手	
BD	エクスカリバー	金の聖杯	硬い皮の小手	
BE	覇王の兜	葉隠れの書	蛇の小手	
BF	（文字化け）	魂の箱	五輪書	
C0	ガラクタ	（文字化け）	大地の鎧	
C1	ガラクタ	（文字化け）	鉛の鎧	
C2	ガラクタ	（文字化け）	賢者の法衣	
C3	ガラクタ	（文字化け）	エルフの鎖帷子	
C4	ガラクタ	（文字化け）	闇装束	
C5	ガラクタ	（文字化け）	極悪の盾	
C6	ガラクタ	（文字化け）	忍者装束	
C7	ガラクタ	（文字化け）	エルフのレイピア	
C8	ガラクタ	ガラクタ	全快の薬	
C9					金剛石の目	
CA					ウィングブーツ	
CB					水銀のローブ	
CC					漆黒のマント	
CD					大爆発の巻物	
CE					ブラッディーマント	
CF					反魂香	
D0					ブラックキャンドル	
D1					悪魔のチャイム	
D2					ネクロノミコン	
D3					ルビーの靴	
D4					黒革の服	
D5					九尾の鞭	
D6					漆黒の鎧	
D7					力のアンク	
D8					知恵のアンク	
D9					祈りのアンク	
DA					生命のアンク	
DB					素早さのアンク	
DC					幸運のアンク	
DD					天女の羽衣	
DE					不気味なブーツ	
DF					デストラクションブレード	
E0					ナックルブレード	
E1					大盗賊のナイフ	
E2					（文字化け）	
E3					（文字化け）	
E4					（文字化け）	
E5					（文字化け）	
E6					（文字化け）	
E7					（文字化け）	
FF	（持ち物無し）	（持ち物無し）	（持ち物無し）	
